Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|PWY-6147|6-Hydroxymethyl-dihydropterin diphosphate Biosynthesis|6-HM-Dihydropterin-PP-Biosynthesis|0.8|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6147
N-acetylglucosamine degradation I|GLUAMCAT-PWY|N-acetylglucosamine degradation|N-Acetylglucosamine-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUAMCAT-PWY
S-adenosyl-L-methionine cycle II|PWY-5041|S-adenosyl-L-methionine cycle|S-adenosyl-L-methionine-cycle|0.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
S-methyl-5'-thioadenosine degradation II|PWY-6756|S-methyl-5'-thioadenosine Degradation|Methylthioadenosine-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6756
myo-inositol biosynthesis|PWY-2301|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2301
trans, trans-farnesyl diphosphate biosynthesis|PWY-5123|All-Trans-Farnesyl-PP-Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis|7.6666665|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5123
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
CDP-diacylglycerol biosynthesis II|PWY0-1319|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1319
D-myo-inositol (1,4,5)-trisphosphate biosynthesis|PWY-6351|||2.2|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6351
D-myo-inositol (1,4,5)-trisphosphate degradation|PWY-6363|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6363
D-mannose degradation|MANNCAT-PWY|||3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNCAT-PWY
DIMBOA-glucoside degradation|PWY-4441|||20.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4441
GA12 biosynthesis|PWY-5034|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5034
GDP-mannose biosynthesis|PWY-5659|GDP Mannose Biosynthesis|GDP-Mannose-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5659
IAA biosynthesis V|PWY-5026|Auxins Biosynthesis|Auxin-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5026
L-arabinan degradation|PWY-6790|||7.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6790
L-arabinose degradation II|PWY-5515|L-arabinose Degradation|L-Arabinose-Degradation|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5515
L-carnitine biosynthesis|PWY-6100|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6100
L-cysteine degradation I|CYSTEINE-DEG-PWY|Cysteine Degradation|CYSTEINE-DEG|1.3333334|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=CYSTEINE-DEG-PWY
L-glutamine biosynthesis II (tRNA-dependent)|PWY-5921|Glutamine Biosynthesis|GLUTAMINE-SYN|1.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5921
L-serine degradation|SERDEG-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SERDEG-PWY
NAD biosynthesis I (from aspartate)|PYRIDNUCSYN-PWY|NAD Biosynthesis|NAD-SYN|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSYN-PWY
NAD phosphorylation and dephosphorylation|NADPHOS-DEPHOS-PWY|||5.3333335|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=NADPHOS-DEPHOS-PWY
NAD salvage pathway I|PYRIDNUCSAL-PWY|NAD Biosynthesis|NAD-SYN|0.625|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSAL-PWY
NAD salvage pathway III|PWY3O-4106|NAD Biosynthesis|NAD-SYN|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-4106
NAD/NADH phosphorylation and dephosphorylation|PWY-5083|||3.6666667|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5083
PRPP biosynthesis I|PWY0-662|PRPP Biosynthesis|PRPP-Biosynthesis|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-662
S-adenosyl-L-methionine biosynthesis|SAM-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SAM-PWY
TCA cycle variation III (eukaryotic)|PWY-5690|TCA cycle|TCA-VARIANTS|1.6666666|0.8888889|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5690
UDP-N-acetyl-D-glucosamine biosynthesis II|UDPNACETYLGALSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNACETYLGALSYN-PWY
UDP-D-xylose and UDP-D-glucuronate biosynthesis|PWY-4821|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4821
acetate conversion to acetyl-CoA|PWY0-1313|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
acetoin biosynthesis III|PWY3O-440|Acetoin Biosynthesis|Acetoin-Biosynthesis|1.0|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-440
acetyl-CoA biosynthesis (from citrate)|PWY-5172|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5172
acidification and chitin degradation (in carnivorous plants)|PWY-6814|||10.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6814
acyl carrier protein metabolism|PWY-6012|||1.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6012
acyl-ACP thioesterase pathway|PWY-5142|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5142
adenine and adenosine salvage I|P121-PWY|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=P121-PWY
adenine and adenosine salvage III|PWY-6609|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6609
adenine and adenosine salvage VI|PWY-6619|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6619
adenosine nucleotides de novo biosynthesis|PWY-6126|Purine Nucleotide De Novo Biosynthesis|Purine-Nucleotide-De-Novo-Biosynthesis|3.875|0.625|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6126
adenosine nucleotides degradation II|SALVADEHYPOX-PWY|Adenosine Nucleotides Degradation|Adenosine-Nucleotides-Degradation|2.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVADEHYPOX-PWY
aerobic respiration (cytochrome c)|PWY-3781|||3.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3781
agroclavine biosynthesis|PWY-6493|||2.5|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6493
alanine biosynthesis II|ALANINE-SYN2-PWY|Alanine Biosynthesis|ALANINE-SYN|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ALANINE-SYN2-PWY
alanine biosynthesis III|PWY0-1021|Alanine Biosynthesis|ALANINE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1021
alanine degradation II (to D-lactate)|ALACAT2-PWY|Alanine Degradation|ALANINE-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ALACAT2-PWY
alkylnitronates degradation|PWY-723|||1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-723
all-trans-decaprenyl diphosphate biosynthesis|PWY-5806|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5806
allantoin degradation to ureidoglycolate I (urea producing)|PWY-5697|Allantoin Degradation|Allantoin-degradation|0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5697
allantoin degradation to ureidoglycolate II (ammonia producing)|PWY-5698|Allantoin Degradation|Allantoin-degradation|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5698
ammonium transport|PWY-5986|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5986
antheraxanthin and violaxanthin biosynthesis|PWY-5945|||1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5945
arginine biosynthesis II (acetyl cycle)|ARGSYNBSUB-PWY|Arginine Biosynthesis|ARGININE-SYN|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGSYNBSUB-PWY
arginine degradation I (arginase pathway)|ARGASEDEG-PWY|Arginine Degradation|ARGININE-DEG|1.5|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGASEDEG-PWY
arginine degradation VI (arginase 2 pathway)|ARG-PRO-PWY|Arginine Degradation|ARGININE-DEG|1.5|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=ARG-PRO-PWY
arginine degradation VII (arginase 3 pathway)|ARG-GLU-PWY|Arginine Degradation|ARGININE-DEG|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ARG-GLU-PWY
arginine degradation X (arginine monooxygenase pathway)|ARGDEG-V-PWY|Arginine Degradation|ARGININE-DEG|0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGDEG-V-PWY
asparagine biosynthesis I|ASPARAGINE-BIOSYNTHESIS|Asparagine Biosynthesis|ASPARAGINE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-BIOSYNTHESIS
asparagine degradation I|ASPARAGINE-DEG1-PWY|Asparagine Degradation|ASPARAGINE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARAGINE-DEG1-PWY
aspartate biosynthesis|ASPARTATESYN-PWY|Aspartate Biosynthesis|ASPARTATE-SYN|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
aspartate degradation II|MALATE-ASPARTATE-SHUTTLE-PWY|Aspartate Degradation|ASPARTATE-DEG|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=MALATE-ASPARTATE-SHUTTLE-PWY
betanidin degradation|PWY-5461|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5461
biotin biosynthesis from 7-keto-8-aminopelargonate|PWY0-1507|Biotin Biosynthesis|BIOTIN-SYN|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1507
biotin-carboxyl carrier protein assembly|PWY0-1264|||1.0|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1264
branched-chain alpha-keto acid dehydrogenase complex|PWY-5046|||0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5046
calcium transport I|PWY-6166|||7.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6166
callose biosynthesis|PWY-6773|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6773
cardiolipin biosynthesis II|PWY-5269|Cardiolipin Biosynthesis|Cardiolipin-Biosynthesis|0.6666667|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5269
cellulose degradation II (fungi)|PWY-6788|Cellulose Degradation|Cellulose-Degradation|13.666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6788
ceramide degradation|PWY-6483|||1.3333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6483
choline biosynthesis III|PWY-3561|Choline Biosynthesis|Choline-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3561
choline degradation I|CHOLINE-BETAINE-ANA-PWY|Betaine Biosynthesis|Betaine-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=CHOLINE-BETAINE-ANA-PWY
chorismate biosynthesis I|ARO-PWY|Chorismate Biosynthesis|Chorismate-Biosynthesis|3.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ARO-PWY
citrulline biosynthesis|CITRULBIO-PWY|||1.5|0.875|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULBIO-PWY
citrulline degradation|CITRULLINE-DEG-PWY|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
coenzyme A biosynthesis|COA-PWY|Coenzyme A Biosynthesis|CoA-Biosynthesis|0.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=COA-PWY
copper transport II|PWY-6137|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6137
cyanate degradation|CYANCAT-PWY|||2.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=CYANCAT-PWY
cytokinins degradation|PWY-2841|||5.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2841
di-trans,poly-cis-undecaprenyl phosphate biosynthesis|PWY-5785|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5785
diphthamide biosynthesis|PWY-6482|||0.6|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6482
dolichyl-diphosphooligosaccharide biosynthesis|MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS|||0.4|0.26666668|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
epoxysqualene biosynthesis|PWY-5670|||1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5670
ergosterol biosynthesis|PWY-6075|||1.0|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6075
ethanol degradation I|ETOH-ACETYLCOA-ANA-PWY|Ethanol Degradation|Ethanol-Degradation|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ETOH-ACETYLCOA-ANA-PWY
ethanol degradation II (cytosol)|PWY66-21|Ethanol Degradation|Ethanol-Degradation|3.6666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-21
ethanol degradation IV (peroxisomal)|PWY66-162|Ethanol Degradation|Ethanol-Degradation|3.6666667|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY66-162
fatty acid beta-oxidation I|FAO-PWY|Fatty Acids Degradation|Fatty-Acid-Degradation|2.0|0.5714286|http://biocyc.org/META/new-image?type=PATHWAY&object=FAO-PWY
fatty acid omega-oxidation|PWY-2724|Fatty Acids Degradation|Fatty-Acid-Degradation|0.6666667|0.16666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2724
fatty acid activation|PWY-5143|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)|PWY-6837|Fatty Acids Degradation|Fatty-Acid-Degradation|1.6|0.4|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6837
fatty acid biosynthesis initiation II|PWY-5966|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|4.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5966
fatty acids biosynthesis (yeast)|PWY-5970|Fatty Acid Biosynthesis|Fatty-acid-biosynthesis|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5970
flavin biosynthesis III (fungi)|PWY-6168|Flavin Biosynthesis|Flavin-Biosynthesis|0.8888889|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6168
folate polyglutamylation|PWY-2161|Folate Biosynthesis|Folate-Biosynthesis|1.6|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2161
folate transformations I|PWY-2201|Folate Biosynthesis|Folate-Biosynthesis|0.9166667|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
formaldehyde assimilation III (dihydroxyacetone cycle)|P185-PWY|Formaldehyde Assimilation|Formaldehyde-Assimilation|1.5|0.9166667|http://biocyc.org/META/new-image?type=PATHWAY&object=P185-PWY
formaldehyde oxidation II (glutathione-dependent)|PWY-1801|Formaldehyde Oxidation|Formaldehyde-Oxidation|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1801
formaldehyde oxidation V (tetrahydrofolate pathway)|PWY-1722|Formaldehyde Oxidation|Formaldehyde-Oxidation|1.25|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1722
formate oxidation to CO2|PWY-1881|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1881
formylTHF biosynthesis I|1CMET2-PWY|Folate Biosynthesis|Folate-Biosynthesis|1.1818181|0.72727275|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
galactose degradation I (Leloir pathway)|PWY-6317|Galactose Degradation|GALACTOSE-DEGRADATION|1.5|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6317
galactose degradation IV|PWY-6693|Galactose Degradation|GALACTOSE-DEGRADATION|0.75|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6693
geranyl diphosphate biosynthesis|PWY-5122|||5.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5122
geranylgeranyldiphosphate biosynthesis|PWY-5120|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5120
gluconeogenesis I|GLUCONEO-PWY|Gluconeogenesis|Gluconeogenesis|1.1538461|0.7692308|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONEO-PWY
glucose and glucose-1-phosphate degradation|GLUCOSE1PMETAB-PWY|||0.8333333|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCOSE1PMETAB-PWY
glutamate biosynthesis II|GLUTAMATE-SYN2-PWY|Glutamate Biosynthesis|GLUTAMATE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-SYN2-PWY
glutamate biosynthesis III|GLUTSYNIII-PWY|Glutamate Biosynthesis|GLUTAMATE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYNIII-PWY
glutamate biosynthesis IV|GLUGLNSYN-PWY|Glutamate Biosynthesis|GLUTAMATE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUGLNSYN-PWY
glutamate degradation I|GLUTAMATE-DEG1-PWY|Glutamate Degradation|GLUTAMATE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-DEG1-PWY
glutamate degradation III (via 4-aminobutyrate)|GLUDEG-I-PWY|Glutamate Degradation|GLUTAMATE-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUDEG-I-PWY
glutamate degradation X|PWY-5766|Glutamate Degradation|GLUTAMATE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5766
glutamate dependent acid resistance|PWY0-1305|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1305
glutamine degradation I|GLUTAMINDEG-PWY|Glutamine Degradation|GLUTAMINE-DEG|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINDEG-PWY
glutaryl-CoA degradation|PWY-5177|||1.2|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5177
glutathione biosynthesis|GLUTATHIONESYN-PWY|||1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY
glutathione redox reactions I|PWY-4081|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4081
glutathione redox reactions II|GLUT-REDOX-PWY|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUT-REDOX-PWY
glutathione-mediated detoxification|PWY-4061|||2.8|0.2|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4061
glycerol degradation I|PWY0-381|Glycerol Degradation|GLYCEROL-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-381
glycerol degradation IV|PWY-4261|Glycerol Degradation|GLYCEROL-DEG|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4261
glycerol-3-phosphate shuttle|PWY-6118|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6118
glycine betaine biosynthesis I (Gram-negative bacteria)|BETSYN-PWY|Betaine Biosynthesis|Betaine-Biosynthesis|1.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=BETSYN-PWY
glycine betaine biosynthesis II (Gram-positive bacteria)|PWY-3722|Betaine Biosynthesis|Betaine-Biosynthesis|4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3722
glycine betaine biosynthesis III (plants)|PWY1F-353|Betaine Biosynthesis|Betaine-Biosynthesis|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY1F-353
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
glycine biosynthesis IV|GLYSYN-THR-PWY|Glycine Biosynthesis|GLYCINE-SYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-THR-PWY
glycine cleavage complex|GLYCLEAV-PWY|Glycine Degradation|GLYCINE-DEG|1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCLEAV-PWY
glycogen biosynthesis II (from UDP-D-Glucose)|PWY-5067|Glucogen and Starch Biosynthesis|GLYCOGEN-BIOSYN|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5067
glycogen degradation II|PWY-5941|Glycogen Degradation|Glycogen-Degradation|0.6|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5941
glycolysis I|GLYCOLYSIS|Glycolysis|GLYCOLYSIS-VARIANTS|1.2727273|0.90909094|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYCOLYSIS
glyoxylate cycle|GLYOXYLATE-BYPASS|TCA cycle|TCA-VARIANTS|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYOXYLATE-BYPASS
guanine and guanosine salvage I|PWY-6620|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6620
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|2.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
heme biosynthesis from uroporphyrinogen-III I|HEME-BIOSYNTHESIS-II|Heme Biosynthesis|HEME-SYN|0.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
heme degradation|PWY-5874|||6.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5874
histidine biosynthesis|HISTSYN-PWY|Histidine Biosynthesis|HISTIDINE-SYN|1.0|0.9|http://biocyc.org/META/new-image?type=PATHWAY&object=HISTSYN-PWY
homocysteine and cysteine interconversion|PWY-801|Cysteine Biosynthesis|CYSTEINE-SYN|1.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-801
homocysteine biosynthesis|PWY-5344|||2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5344
homogalacturonan degradation|PWY-1081|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1081
homoserine biosynthesis|HOMOSERSYN-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=HOMOSERSYN-PWY
hypusine biosynthesis|PWY-5905|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5905
